BLOCK,TREES NAME,SCIENTIFIC NAME,COUNT,CATEGORY
ST PATRICK'S,COCONUT,UNKNOWN,9,Fruit
ST PATRICK'S,BANANA,UNKNOWN,12,Fruit
ST PATRICK'S,RAMBUTAN,UNKNOWN,1,Other
ST PATRICK'S,ORCHID,UNKNOWN,9,Other
ST PATRICK'S,FISHTAIL PALM,UNKNOWN,13,Ornamental
ST PATRICK'S,PALM,UNKNOWN,8,Ornamental
ST PATRICK'S,INDIAN BEECH,UNKNOWN,22,Shade
ST PATRICK'S,MONKEY POD,UNKNOWN,17,Shade
ST PATRICK'S,AMALTAS,UNKNOWN,1,Other
ST PATRICK'S,ASHOK,UNKNOWN,39,Shade
ST PATRICK'S,MANGO,UNKNOWN,14,Fruit
ST PATRICK'S,SAPOTA,UNKNOWN,5,Other
ST PATRICK'S,GULMOHAR,UNKNOWN,12,Other
ST PATRICK'S,CAPE FIG,UNKNOWN,7,Fruit
ST PATRICK'S,GUAVA,UNKNOWN,4,Other
ST PATRICK'S,JAMUN,UNKNOWN,1,Other
ST PATRICK'S,CHILEAN JASMINE,UNKNOWN,3,Other
ST PATRICK'S,OLEANDER,UNKNOWN,1,Other
ST PATRICK'S,CHRISTMAS,UNKNOWN,3,Other
ST PATRICK'S,AFRICAN TALISAY,UNKNOWN,8,Other
ST PATRICK'S,ALEXANDRIAN LAUREL,UNKNOWN,2,Other
ST PATRICK'S,COOK PINE,UNKNOWN,1,Other
ST PATRICK'S,BAMBOO CYCAD,UNKNOWN,15,Ornamental
ST PATRICK'S,ROYAL PALM,UNKNOWN,12,Ornamental
OUR CAMPUS,NEEM TREE,UNKNOWN,77,Medicinal
OUR CAMPUS,INDIAN BEECH TREE,UNKNOWN,79,Shade
OUR CAMPUS,MONKEY POD TREE,UNKNOWN,38,Shade
OUR CAMPUS,ALMOND TREE,UNKNOWN,28,Fruit
OUR CAMPUS,BAMBOO CYCAD,UNKNOWN,31,Ornamental
OUR CAMPUS,ASHOK TREE,UNKNOWN,110,Shade
OUR CAMPUS,TECTONA TREE,UNKNOWN,34,Other
OUR CAMPUS,ORCHID TREE,UNKNOWN,9,Other
OUR CAMPUS,RAMBUTAN TREE,UNKNOWN,1,Other
OUR CAMPUS,STERCULIA FOETIDA,UNKNOWN,2,Other
OUR CAMPUS,PORTIA TREE,UNKNOWN,1,Other
OUR CAMPUS,GULMOHAR TREE,UNKNOWN,24,Other
OUR CAMPUS,PINE,UNKNOWN,3,Other
OUR CAMPUS,BAMBOO TREE,UNKNOWN,23,Ornamental
OUR CAMPUS,PALM TREE,UNKNOWN,21,Ornamental
OUR CAMPUS,SACRED FIG TREE,UNKNOWN,5,Fruit
OUR CAMPUS,ASIAN BULLET WOOD,UNKNOWN,38,Shade
OUR CAMPUS,ALEXANDRIAN LAUREL,UNKNOWN,10,Other
OUR CAMPUS,COCONUT TREE,UNKNOWN,43,Fruit
OUR CAMPUS,FOX TAIL PALM TREE,UNKNOWN,17,Ornamental
OUR CAMPUS,BOTTLE PALM TREE,UNKNOWN,9,Ornamental
OUR CAMPUS,BANANA TREE,UNKNOWN,50,Fruit
OUR CAMPUS,ROYAL PALM TREE,UNKNOWN,43,Ornamental
OUR CAMPUS,PAPAYA TREE,UNKNOWN,8,Fruit
OUR CAMPUS,SAPOTA TREE,UNKNOWN,9,Other
OUR CAMPUS,TAMARIND,UNKNOWN,9,Fruit
OUR CAMPUS,MANGO TREE,UNKNOWN,27,Fruit
OUR CAMPUS,GUAVA TREE,UNKNOWN,8,Other
OUR CAMPUS,FISHTAIL PALM,UNKNOWN,13,Ornamental
OUR CAMPUS,CAPE FIG,UNKNOWN,7,Fruit
OUR CAMPUS,JAMUN TREE,UNKNOWN,1,Other
OUR CAMPUS,CHILEAN JASMINE,UNKNOWN,3,Other
OUR CAMPUS,OLEANDER TREE,UNKNOWN,1,Other
OUR CAMPUS,CHRISTMAS TREE,UNKNOWN,4,Other
OUR CAMPUS,AFRICAN TALISAY,UNKNOWN,8,Other
OUR CAMPUS,COOK PINE,UNKNOWN,1,Other
OUR CAMPUS,AMALTAS TREE,UNKNOWN,1,Other
OUR CAMPUS,FIG TREE,UNKNOWN,1,Fruit
OUR CAMPUS,GOLDEN BAMBOO TREE,UNKNOWN,65,Ornamental
OUR CAMPUS,ACACIA,UNKNOWN,3,Shade
OUR CAMPUS,HAINANIA,UNKNOWN,4,Shade
OUR CAMPUS,BIRD CATCHER TREE,UNKNOWN,5,Other
OUR CAMPUS,JACKFRUIT TREE,UNKNOWN,5,Other
OUR CAMPUS,CONIFER TREE,UNKNOWN,3,Other
OUR CAMPUS,AFRICAN TULIP TREE,UNKNOWN,2,Other
OUR CAMPUS,CUSTARD APPLE TREE,UNKNOWN,1,Other
OUR CAMPUS,CHRISTMAS PALM TREE,UNKNOWN,3,Ornamental
OUR CAMPUS,YELLOW ELDER TREE,UNKNOWN,4,Other
